threads,iterations,accounts,duration
1,100,10,0
1,100,100,0
1,100,1000,0
1,1000,10,0
1,1000,100,0
1,1000,1000,1
1,10000,10,0
1,10000,100,1
1,10000,1000,15
1,100000,10,5
1,100000,100,13
1,100000,1000,142
1,1000000,10,55
1,1000000,100,133
1,1000000,1000,1412
